,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
149,(주)경동나비엔,9450,Dec-11,341246917.0,36210869.0,60788326.0,318269213.0,45321567.0,41637076.0,366.0006665467399,351.8038649702196
150,(주)경동나비엔,9450,Dec-12,379014259.0,37720771.0,59527947.0,341339118.0,52865768.0,33893618.0,393.4319198616735,389.73702357701
151,(주)경동나비엔,9450,Dec-13,414177562.0,38993744.0,71724409.0,371601179.0,56666418.0,37417214.0,394.96899843322376,374.0827956188901
152,(주)경동나비엔,9450,Dec-14,428985365.0,41167793.0,83525372.0,382392117.0,77167697.0,40963230.0,323.7019523261677,344.03278239027776
153,(주)경동나비엔,9450,Dec-15,512031120.0,40720959.0,87185691.0,448302084.0,80824192.0,39239496.0,373.3869011253427,400.3162618988145
154,(주)경동나비엔,9450,Dec-16,583252904.0,51051560.0,89997026.0,506082201.0,85914718.0,41128987.0,398.3528353490635,413.51205321547855
155,(주)경동나비엔,9450,Dec-17,684660958.0,78968890.0,110374505.0,569819524.0,99173501.0,57016736.0,364.82403442412345,361.59748693636766
156,(주)경동나비엔,9450,Dec-18,726741615.0,94866914.0,150049770.0,618058456.0,120493677.0,74930222.0,316.2655433458525,296.7301382375404
157,(주)경동나비엔,9450,Dec-19,774290704.0,96284740.0,138114361.0,655419303.0,143343920.0,66299991.0,312.6345525007879,330.3300655577173
158,(주)경동도시가스,267290,Dec-17,871548284.0,263647773.0,1111165.0,870828897.0,263643633.0,1111165.0,328.9190237829042,329.1855944821776
159,(주)경동도시가스,267290,Dec-18,1606531867.0,249114243.0,1299646.0,1605687067.0,249117109.0,1299646.0,641.2059237010719,641.5506238154386
160,(주)경동도시가스,267290,Dec-19,1422707835.0,201864420.0,1333402.0,1421866212.0,201833997.0,1333402.0,699.8495915183714,700.1589982593416
161,(주)경동인베스트,12320,Dec-11,1847666903.0,352420975.0,6238419.0,1806174764.0,337190982.0,837931.0,534.3255249884497,515.1592106353695
162,(주)경동인베스트,12320,Dec-12,2502642394.0,429513466.0,20579836.0,2403814656.0,413063519.0,1073025.0,580.4401207346725,556.0274687224739
163,(주)경동인베스트,12320,Dec-13,2788264380.0,377298441.0,13656418.0,2664100017.0,370673340.0,759346.0,717.2497514125615,713.1934329021858
164,(주)경동인베스트,12320,Dec-14,2603059058.0,346363738.0,18386682.0,2399450987.0,306852953.0,1014437.0,779.3780910021031,713.6548487044922
165,(주)경동인베스트,12320,Dec-15,1604168482.0,258223845.0,8347076.0,1352478311.0,210450343.0,958537.0,639.7452703973456,601.7792473320824
166,(주)경동인베스트,12320,Dec-16,1181902637.0,259424655.0,10949433.0,1021002691.0,205523295.0,1016660.0,494.3366483255019,437.13606053846405
167,(주)경동인베스트,12320,Dec-17,195069859.0,66718773.0,14232992.0,612436.0,65907.0,0.0,929.2427208035566,240.970482854821
168,(주)경동인베스트,12320,Dec-18,228644016.0,56884735.0,30703229.0,7460898.0,842694.0,87903.0,801.7324362747784,261.04501755515173
169,(주)경동인베스트,12320,Dec-19,271765025.0,63713573.0,30814751.0,8641051.0,844080.0,176596.0,846.6007822266812,287.49586737621627
170,(주)경방,50,Dec-11,348136369.0,31118341.0,72996830.0,275746943.0,32135932.0,71422892.0,266.27083270084256,334.3762159311058
171,(주)경방,50,Dec-12,333620804.0,31458436.0,52907652.0,265409209.0,31453366.0,50300747.0,324.6432494472786,395.4442026516626
172,(주)경방,50,Dec-13,347189559.0,34166562.0,40216862.0,264782077.0,31058761.0,35601409.0,397.21182379222853,466.7566244328844
173,(주)경방,50,Dec-14,329036023.0,35219398.0,37758471.0,256979444.0,32233594.0,34615710.0,384.4160352065894,450.87096610069557
174,(주)경방,50,Dec-15,357628146.0,37901704.0,52862910.0,307744480.0,31721636.0,37595998.0,443.9627584519114,394.0171507808098
175,(주)경방,50,Dec-16,377445013.0,38823607.0,45810493.0,313876822.0,31731834.0,33656952.0,480.01628597294956,445.9727379389632
176,(주)경방,50,Dec-17,360788750.0,34640336.0,31921285.0,288103985.0,27595270.0,22476156.0,575.3860195633334,542.0372048931921
177,(주)경방,50,Dec-18,351438926.0,42175729.0,59792825.0,279085217.0,29371128.0,35574579.0,429.72080818213277,344.6542215357884
178,(주)경방,50,Dec-19,343892085.0,37797870.0,31308041.0,253552382.0,24474870.0,13959690.0,659.6989324191561,497.6304921296819
179,(주)경보제약,214390,Dec-15,,,,178032632.0,46116955.0,49522277.0,186.150210825616,
180,(주)경보제약,214390,Dec-16,,,,186726170.0,50452400.0,47568951.0,190.4954054346792,
181,(주)경보제약,214390,Dec-17,,,,191661374.0,55984549.0,47964422.0,184.3802513446718,
182,(주)경보제약,214390,Dec-18,,,,201343596.0,67195051.0,53494316.0,166.8279493089064,
183,(주)경보제약,214390,Dec-19,,,,191706189.0,52833419.0,62312499.0,166.48978298996235,
184,(주)경인양행,12610,Dec-11,233095049.0,58900677.0,95390048.0,128707611.0,47702972.0,51423188.0,129.84222429275985,151.07521790438147
185,(주)경인양행,12610,Dec-12,218604655.0,56308561.0,70357744.0,141304459.0,0.0,38724208.0,364.89954552459795,172.58311513863137
186,(주)경인양행,12610,Dec-13,260808400.0,69253772.0,90667397.0,183106757.0,0.0,60685132.0,301.7324853145248,163.08560125645403
187,(주)경인양행,12610,Dec-14,277181095.0,64789479.0,89741323.0,190395047.0,40378430.0,57418066.0,194.68493738262362,179.3694793611438
188,(주)경인양행,12610,Dec-15,263163677.0,60317420.0,95494779.0,175006703.0,40536511.0,62450588.0,169.93070462155652,168.89799302556534
