,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
207,(주)고영테크놀러지,98460,Dec-19,61812656.0,305481184.0,55999383.0,308020011.0,18.18043666000648,20.23452154748752
208,(주)골드앤에스,35290,Dec-11,24240316.0,46677146.0,23709321.0,46347129.0,51.15596480636373,51.93187261277714
209,(주)골드앤에스,35290,Dec-12,26432789.0,51950606.0,24809934.0,51062616.0,48.58727566954267,50.88061725401239
210,(주)골드앤에스,35290,Dec-13,38315150.0,51442505.0,24695648.0,34508798.0,71.56333871727436,74.4815012410457
211,(주)골드앤에스,35290,Dec-14,34445853.0,46528474.0,19800028.0,28884288.0,68.54947575650817,74.03177030907997
212,(주)골드앤에스,35290,Dec-15,8941840.0,24102094.0,8605906.0,23597566.0,36.46946468970571,37.09984700914369
213,(주)골드앤에스,35290,Dec-16,4403117.0,18671644.0,4193998.0,18296141.0,22.922855699461433,23.58183885682482
214,(주)골드앤에스,35290,Dec-17,3827858.0,17173934.0,3890051.0,16994788.0,22.889670644905955,22.288766219784005
215,(주)골드앤에스,35290,Dec-18,28693062.0,42472631.0,28605618.0,42472631.0,67.35070874229572,67.55659191444957
216,(주)골드앤에스,35290,Dec-19,21187743.0,16096170.0,21097263.0,16096170.0,131.07008064651404,131.63220194617728
217,(주)골드퍼시픽,38530,Dec-11,,,5643796.0,27473520.0,20.542675274227694,
218,(주)골드퍼시픽,38530,Dec-12,,,6933139.0,29861540.0,23.21762039064295,
219,(주)골드퍼시픽,38530,Dec-13,17496573.0,33687572.0,13401333.0,30517744.0,43.91324928867612,51.937768029111744
220,(주)골드퍼시픽,38530,Dec-14,25380917.0,41948832.0,15034120.0,31936409.0,47.075173667772106,60.50446648907889
221,(주)골드퍼시픽,38530,Dec-15,7380179.0,28573328.0,7380179.0,27495738.0,26.84117443947131,25.828909394103476
222,(주)골드퍼시픽,38530,Dec-16,,,9232425.0,11122066.0,83.00998213821065,
223,(주)골드퍼시픽,38530,Dec-17,,,21203473.0,26567967.0,79.80841364339244,
224,(주)골드퍼시픽,38530,Dec-18,17738744.0,37825442.0,17201663.0,37288362.0,46.131452489117116,46.896329724316246
225,(주)골드퍼시픽,38530,Dec-19,,,51876425.0,72945743.0,71.11645295051694,
226,(주)골프존,215000,Dec-15,69278343.0,178132253.0,66566259.0,171629353.0,38.78489188268396,38.891521233945205
227,(주)골프존,215000,Dec-16,67265600.0,187914226.0,61749251.0,177635830.0,34.76170939162442,35.79590615986679
228,(주)골프존,215000,Dec-17,64290538.0,253672419.0,57616911.0,239011847.0,24.106299216205798,25.34392120887214
