,회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별),재고자산회전율(개별),재고자산회전율(연결)
166,(주)경동인베스트,12320,Dec-16,1181902637.0,10949433.0,1021002691.0,1016660.0,1004.2715273542777,107.9419032017457
167,(주)경동인베스트,12320,Dec-17,195069859.0,14232992.0,612436.0,0.0,inf,13.70547099302803
168,(주)경동인베스트,12320,Dec-18,228644016.0,30703229.0,7460898.0,87903.0,84.8764888570356,7.446904558474941
169,(주)경동인베스트,12320,Dec-19,271765025.0,30814751.0,8641051.0,176596.0,48.93118190672495,8.8193159503382
170,(주)경방,50,Dec-11,348136369.0,72996830.0,275746943.0,71422892.0,3.860764179081407,4.769198456974091
171,(주)경방,50,Dec-12,333620804.0,52907652.0,265409209.0,50300747.0,5.276446669867547,6.305719331487249
172,(주)경방,50,Dec-13,347189559.0,40216862.0,264782077.0,35601409.0,7.437404429695465,8.63293508578566
173,(주)경방,50,Dec-14,329036023.0,37758471.0,256979444.0,34615710.0,7.423780820904728,8.714230589474875
174,(주)경방,50,Dec-15,357628146.0,52862910.0,307744480.0,37595998.0,8.185564857195704,6.765199759150603
175,(주)경방,50,Dec-16,377445013.0,45810493.0,313876822.0,33656952.0,9.32576491180782,8.239269832786999
176,(주)경방,50,Dec-17,360788750.0,31921285.0,288103985.0,22476156.0,12.818205435128675,11.302450700214607
177,(주)경방,50,Dec-18,351438926.0,59792825.0,279085217.0,35574579.0,7.8450743436767025,5.877610332008899
178,(주)경방,50,Dec-19,343892085.0,31308041.0,253552382.0,13959690.0,18.16318141735239,10.984145734317902
179,(주)경보제약,214390,Dec-15,,,178032632.0,49522277.0,3.5950009326105907,
180,(주)경보제약,214390,Dec-16,,,186726170.0,47568951.0,3.925379182736235,
181,(주)경보제약,214390,Dec-17,,,191661374.0,47964422.0,3.9959070913019654,
182,(주)경보제약,214390,Dec-18,,,201343596.0,53494316.0,3.7638315816581334,
183,(주)경보제약,214390,Dec-19,,,191706189.0,62312499.0,3.0765286592020646,
184,(주)경인양행,12610,Dec-11,233095049.0,95390048.0,128707611.0,51423188.0,2.502909990722473,2.443599242134777
185,(주)경인양행,12610,Dec-12,218604655.0,70357744.0,141304459.0,38724208.0,3.6489954552459793,3.1070446914841385
186,(주)경인양행,12610,Dec-13,260808400.0,90667397.0,183106757.0,60685132.0,3.017324853145248,2.8765400643408787
187,(주)경인양행,12610,Dec-14,277181095.0,89741323.0,190395047.0,57418066.0,3.315943225952612,3.088667357845839
188,(주)경인양행,12610,Dec-15,263163677.0,95494779.0,175006703.0,62450588.0,2.8023227419411967,2.755791256399473
189,(주)경인양행,12610,Dec-16,274873817.0,99419770.0,179267850.0,66161603.0,2.709545142066766,2.7647802544705145
190,(주)경인양행,12610,Dec-17,299987729.0,97118533.0,193975818.0,63955013.0,3.0330041211937524,3.088882417529927
191,(주)경인양행,12610,Dec-18,331102011.0,123873222.0,222659442.0,86129207.0,2.585179287671835,2.6729103001777093
192,(주)경인양행,12610,Dec-19,358802386.0,141253404.0,245244968.0,101010142.0,2.4279241979483603,2.540132668236441
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,3329941.0,26.32487362388703,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,4242987.0,20.215881641871633,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,6942200.0,10.216038287574545,
199,(주)고영테크놀러지,98460,Dec-11,86130810.0,14264259.0,80200892.0,13001882.0,6.168406389167353,6.03822532947558
200,(주)고영테크놀러지,98460,Dec-12,107841666.0,17763177.0,100791139.0,15164342.0,6.646588358400252,6.071079852438559
201,(주)고영테크놀러지,98460,Dec-13,111902729.0,20893135.0,103933681.0,17888953.0,5.809936501035025,5.3559568250528224
202,(주)고영테크놀러지,98460,Dec-14,142840131.0,18090390.0,135531589.0,13344937.0,10.156030635438743,7.8959121942644686
203,(주)고영테크놀러지,98460,Dec-15,145904431.0,19344915.0,138554625.0,12475503.0,11.106135359832786,7.542262708313787
204,(주)고영테크놀러지,98460,Dec-16,171793841.0,19563475.0,153254768.0,12591503.0,12.171284714779482,8.781356124103718
205,(주)고영테크놀러지,98460,Dec-17,203368626.0,22300525.0,188934907.0,12749777.0,14.818683260107216,9.11945463167347
