회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)녹십자엠에스,142280,14-Dec,#DIV/0!,#DIV/0!,0
(주)녹십자엠에스,142280,15-Dec,#DIV/0!,#DIV/0!,1
(주)녹십자엠에스,142280,16-Dec,#DIV/0!,#DIV/0!,1
(주)녹십자엠에스,142280,17-Dec,#DIV/0!,#DIV/0!,0
(주)녹십자엠에스,142280,18-Dec,#DIV/0!,#DIV/0!,0
(주)녹십자엠에스,142280,19-Dec,#DIV/0!,#DIV/0!,1
(주)녹원씨엔아이,65560,11-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,12-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,13-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,14-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,15-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,16-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,17-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,18-Dec,#DIV/0!,#DIV/0!,0
(주)녹원씨엔아이,65560,19-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,11-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,12-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,13-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,14-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,15-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,16-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,17-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,18-Dec,#DIV/0!,#DIV/0!,0
(주)누리플랜,69140,19-Dec,#DIV/0!,#DIV/0!,1
(주)누리플렉스,40160,11-Dec,#DIV/0!,#DIV/0!,0
