회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)국동,5320,Dec-14,186086561,60454108,22684183,117861978,36105772,8296174
(주)국동,5320,Dec-15,170296068,63906154,27935227,102431161,34533151,13730846
(주)국동,5320,Dec-16,197368723,83256355,31975546,127275873,51330735,15648099
(주)국동,5320,Dec-17,191602989,66343830,31470800,130016453,39587109,13096071
(주)국동,5320,Dec-18,219550054,83767312,32699651,136811631,46980024,11916220
(주)국동,5320,Dec-19,223077183,89543258,32361904,116180044,54839302,11271338
(주)국보,1140,Dec-11,130636214,41337436,675022,118304924,39894724,675022
(주)국보,1140,Dec-12,122343037,39130945,743450,109183947,36506928,743450
(주)국보,1140,Dec-13,117073443,37418409,748235,108994114,35691910,748235
(주)국보,1140,Dec-14,97520169,31669967,665254,89859741,30298511,665254
(주)국보,1140,Dec-15,91618545,26759792,413181,85267457,25758664,413181
(주)국보,1140,Dec-16,87333326,26046898,376717,77773715,24610414,376717
(주)국보,1140,Dec-17,78255522,18529522,405427,74662255,17793062,405427
(주)국보,1140,Dec-18,71549828,11759027,354646,66929948,11593846,354646
(주)국보,1140,Dec-19,89087334,70457619,43435168,58296078,17297097,338808
(주)국보디자인,66620,Dec-11,130689686,59455203,0,123203000,57200948,0
(주)국보디자인,66620,Dec-12,119402993,74341481,0,118458574,72788158,0
(주)국보디자인,66620,Dec-13,163518536,102871707,0,153216189,95233392,0
(주)국보디자인,66620,Dec-14,176373907,106963249,0,158268803,99218627,0
(주)국보디자인,66620,Dec-15,192608497,107093318,0,157657615,96703601,0
(주)국보디자인,66620,Dec-16,201410031,128985094,0,191620729,118586463,0
(주)국보디자인,66620,Dec-17,270658405,135628503,0,262522024,127549210,0
(주)국보디자인,66620,Dec-18,254259835,142346121,0,231093439,127871195,0
(주)국보디자인,66620,Dec-19,269005976,194818591,0,237054909,169956490,0
(주)국순당,43650,Dec-11,127686247,82405755,16285781,124279594,77580053,15071855
(주)국순당,43650,Dec-12,118697826,87400525,16139074,115146725,81287902,14906288
(주)국순당,43650,Dec-13,99173525,100545624,16182543,96140591,84404848,13577007
(주)국순당,43650,Dec-14,91863604,99291581,15332903,89173752,86268346,11886783
(주)국순당,43650,Dec-15,77443124,97221146,14869710,74955341,82905503,11788376
(주)국순당,43650,Dec-16,69701266,85261001,14890028,68425801,71906088,10940127
(주)국순당,43650,Dec-17,62761236,86651908,14274110,60087461,75544356,10134104
(주)국순당,43650,Dec-18,61496072,72906719,14888891,52679104,62941465,10860632
(주)국순당,43650,Dec-19,102095769,78834555,16017909,48045002,60930981,10459069
(주)국영지앤엠,6050,Dec-11,,,,42569848,25252313,1498155
(주)국영지앤엠,6050,Dec-12,,,,43781593,21149484,1588558
(주)국영지앤엠,6050,Dec-13,,,,55789778,25059260,1582228
(주)국영지앤엠,6050,Dec-14,,,,51491847,22615829,1796351
(주)국영지앤엠,6050,Dec-15,,,,40107647,27918404,1330780
(주)국영지앤엠,6050,Dec-16,,,,51456556,29575531,4059203
(주)국영지앤엠,6050,Dec-17,,,,62861661,29995395,3195981
(주)국영지앤엠,6050,Dec-18,,,,56301480,25138635,2641685
(주)국영지앤엠,6050,Dec-19,,,,73013468,32068324,2586636
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
