회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)글로벌스탠다드테크놀로지,83450,Dec-13,42629997,42629997,39169886,39169886
(주)글로벌스탠다드테크놀로지,83450,Dec-14,50846053,50846053,45624394,45624394
(주)글로벌스탠다드테크놀로지,83450,Dec-15,56675666,56675666,49667680,49667680
(주)글로벌스탠다드테크놀로지,83450,Dec-16,60779819,60779819,53103831,53103831
(주)글로벌스탠다드테크놀로지,83450,Dec-17,78275559,78275559,67278478,67278478
(주)글로벌스탠다드테크놀로지,83450,Dec-18,85807825,85807825,72640818,72640818
(주)글로벌스탠다드테크놀로지,83450,Dec-19,103310701,103310701,90403163,90403163
(주)금비,8870,Sep-11,127461261,127461261,76631712,76631712
(주)금비,8870,Sep-12,127569592,127569592,76286738,76286738
(주)금비,8870,Sep-13,127930275,127930275,75961191,75961191
(주)금비,8870,Sep-14,130427078,130427078,73951486,73951486
(주)금비,8870,Sep-15,138920965,138920965,75497346,75497346
(주)금비,8870,Sep-16,146679335,146679335,80284267,80284267
(주)금비,8870,Sep-17,150022915,150022915,80937315,80937315
(주)금비,8870,Sep-18,156252159,156252159,83535809,83535809
(주)금비,8870,Sep-19,163543704,163543704,84602682,84602682
(주)금양,1570,Dec-11,45175687,45175687,43024251,43024251
(주)금양,1570,Dec-12,45542580,45542580,45261596,45261596
(주)금양,1570,Dec-13,45554255,45554255,45422689,45422689
(주)금양,1570,Dec-14,44489985,44489985,46481587,46481587
(주)금양,1570,Dec-15,57953744,57953744,46703110,46703110
(주)금양,1570,Dec-16,34480745,34480745,22239137,22239137
(주)금양,1570,Dec-17,57595446,57595446,31251974,31251974
(주)금양,1570,Dec-18,79456336,79456336,49187838,49187838
(주)금양,1570,Dec-19,68287064,68287064,35004819,35004819
(주)금호에이치티,214330,Dec-15,81388280,81388280,82117294,82117294
(주)금호에이치티,214330,Dec-16,86282030,86282030,92714230,92714230
(주)금호에이치티,214330,Dec-17,90754420,90754420,97560824,97560824
(주)금호에이치티,214330,Dec-18,124851870,124851870,131065067,131065067
(주)금호에이치티,214330,Dec-19,172630689,172630689,180769966,180769966
(주)금화피에스시,36190,Dec-11,,,76345247,76345247
(주)금화피에스시,36190,Dec-12,,92305175,92305175,90163134
(주)금화피에스시,36190,Dec-13,117616926,117616926,113200802,113200802
(주)금화피에스시,36190,Dec-14,133525938,133525938,126877795,126877795
(주)금화피에스시,36190,Dec-15,149051009,149051009,142256701,142256701
(주)금화피에스시,36190,Dec-16,168709929,168709929,159990222,159990222
(주)금화피에스시,36190,Dec-17,184227358,183057314,176303850,175235431
(주)금화피에스시,36190,Dec-18,220727038,220727038,211366403,211366403
(주)금화피에스시,36190,Dec-19,239409631,239409631,227742546,227742546
(주)기가레인,49080,Dec-13,62386212,62386212,62596675,62596675
(주)기가레인,49080,Dec-14,75572002,75572002,77078658,77078658
(주)기가레인,49080,Dec-15,65744609,65744609,65461853,65461853
(주)기가레인,49080,Dec-16,57597489,57597489,57063120,57063120
(주)기가레인,49080,Dec-17,88669121,88669121,89023884,89023884
(주)기가레인,49080,Dec-18,68560115,68560115,66878280,66878280
(주)기가레인,49080,Dec-19,28064616,27492262,27887641,27315287
(주)기산텔레콤,35460,Dec-11,33888631,33888631,32479105,32479105
(주)기산텔레콤,35460,Dec-12,31516647,31516647,33918079,33918079
(주)기산텔레콤,35460,Dec-13,36517480,36517480,36087855,36087855
(주)기산텔레콤,35460,Dec-14,38506780,38506780,36429569,36429569
(주)기산텔레콤,35460,Dec-15,42259485,42259485,38723216,38723216
(주)기산텔레콤,35460,Dec-16,39870843,39870843,37420205,37420205
(주)기산텔레콤,35460,Dec-17,34992274,34992274,35438291,35438291
(주)기산텔레콤,35460,Dec-18,31640999,31640999,29246000,29246000
(주)기산텔레콤,35460,Dec-19,34690964,34690964,31379895,31379895
(주)까뮤이앤씨,13700,Dec-11,,,46083061,46083061
(주)까뮤이앤씨,13700,Dec-12,,,40763024,43010290
(주)까뮤이앤씨,13700,Dec-13,,,33715699,33715699
