회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)기산텔레콤,35460,Dec-13,79463728,78811114,48367030,57254925
(주)기산텔레콤,35460,Dec-14,74512326,78052777,41612762,54284156
(주)기산텔레콤,35460,Dec-15,79710503,76012528,45712905,53901387
(주)기산텔레콤,35460,Dec-16,59172319,74209973,24679656,47117435
(주)기산텔레콤,35460,Dec-17,63467585,70137339,29568090,44554117
(주)기산텔레콤,35460,Dec-18,56445716,56180491,24864346,34219394
(주)기산텔레콤,35460,Dec-19,67054955,66789756,30545683,40025881
(주)까뮤이앤씨,13700,Dec-11,,,90048208,248885092
(주)까뮤이앤씨,13700,Dec-12,,,90976586,203481478
(주)까뮤이앤씨,13700,Dec-13,,,83568532,167635146
(주)까뮤이앤씨,13700,Dec-14,,,123567918,129647729
(주)까뮤이앤씨,13700,Dec-15,,,132370311,129465385
(주)까뮤이앤씨,13700,Dec-16,,,139708060,142978398
(주)까뮤이앤씨,13700,Dec-17,,,172176860,139937930
(주)까뮤이앤씨,13700,Dec-18,,,116296828,142240175
(주)까뮤이앤씨,13700,Dec-19,,,283420655,168876167
(주)까스텔바작,308100,Dec-19,81358617,89005071,81068234,88614189
