회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)기가레인,49080,Dec-15,8173832,45758661,6815349,42133622
(주)기가레인,49080,Dec-16,7789794,46144283,5755900,43016521
(주)기가레인,49080,Dec-17,24300940,72343064,22471865,69139156
(주)기가레인,49080,Dec-18,37262134,97225166,35715541,93687799
(주)기가레인,49080,Dec-19,17628230,60133834,15205943,60124344
(주)기산텔레콤,35460,Dec-11,18767251,55476277,10909684,36475109
(주)기산텔레콤,35460,Dec-12,13259612,55620433,5331514,25695937
(주)기산텔레콤,35460,Dec-13,15151600,63696575,5894529,36537435
(주)기산텔레콤,35460,Dec-14,22011486,64834230,5456977,35605455
(주)기산텔레콤,35460,Dec-15,18183749,64461290,4919930,37184206
(주)기산텔레콤,35460,Dec-16,17338891,62942880,4378274,31145919
(주)기산텔레콤,35460,Dec-17,21211655,58352347,7924502,29268094
(주)기산텔레콤,35460,Dec-18,19445191,46536756,3963378,23094786
(주)기산텔레콤,35460,Dec-19,20148676,49053647,3162634,22585911
(주)까뮤이앤씨,13700,Dec-11,,,4678067,76964607
(주)까뮤이앤씨,13700,Dec-12,,,5293572,119571783
(주)까뮤이앤씨,13700,Dec-13,,,1151053,109233863
(주)까뮤이앤씨,13700,Dec-14,,,1514376,34559227
(주)까뮤이앤씨,13700,Dec-15,,,1396884,62979800
(주)까뮤이앤씨,13700,Dec-16,,,1361867,45642684
(주)까뮤이앤씨,13700,Dec-17,,,1477286,41210840
(주)까뮤이앤씨,13700,Dec-18,,,1984047,42850829
(주)까뮤이앤씨,13700,Dec-19,,,1224883,74633980
(주)까스텔바작,308100,Dec-19,37141130,66201004,37141130,66187581
(주)나노,187790,Dec-14,,,,
