회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)금비,8870,Sep-11,120536685,120536685,33684268,33684268
(주)금비,8870,Sep-12,120094550,120094550,33385290,33385290
(주)금비,8870,Sep-13,123102243,123102243,35596598,35596598
(주)금비,8870,Sep-14,127524447,127524447,44581238,44581238
(주)금비,8870,Sep-15,124166757,124166757,42769718,42769718
(주)금비,8870,Sep-16,128792424,128792424,49550563,49550563
(주)금비,8870,Sep-17,125836181,125836181,47186559,47186559
(주)금비,8870,Sep-18,126619168,126619168,47371569,47371569
(주)금비,8870,Sep-19,128141669,128141669,46877531,46877531
(주)금양,1570,Dec-11,42139919,42139919,23407730,23407730
(주)금양,1570,Dec-12,42998812,42998812,23401226,23401226
(주)금양,1570,Dec-13,42071460,42071460,23186038,23186038
(주)금양,1570,Dec-14,37202354,37202354,23087543,23087543
(주)금양,1570,Dec-15,37772375,37772375,24649981,24649981
(주)금양,1570,Dec-16,50960603,50960603,25256350,25256350
(주)금양,1570,Dec-17,49447446,49447446,25514623,25514623
(주)금양,1570,Dec-18,48579379,48579379,25664622,25664622
(주)금양,1570,Dec-19,56212957,56212957,30964168,30964168
(주)금호에이치티,214330,Dec-15,35130436,35130436,25050361,25050361
(주)금호에이치티,214330,Dec-16,61937855,61937855,52902194,52902194
(주)금호에이치티,214330,Dec-17,55754669,55754669,48127082,48127082
(주)금호에이치티,214330,Dec-18,52872799,52872799,45118854,45118854
(주)금호에이치티,214330,Dec-19,55766044,55766044,46469308,46469308
(주)금화피에스시,36190,Dec-11,,,12869680,12869680
(주)금화피에스시,36190,Dec-12,,14031715,14031715,14031715
(주)금화피에스시,36190,Dec-13,15533041,15533041,14635060,14635060
(주)금화피에스시,36190,Dec-14,19289309,19289309,16432016,16432016
(주)금화피에스시,36190,Dec-15,24594245,24594245,19034614,19034614
(주)금화피에스시,36190,Dec-16,26614096,26614096,18821165,18821165
(주)금화피에스시,36190,Dec-17,25379886,25379886,17661564,17661564
(주)금화피에스시,36190,Dec-18,25554351,25554351,17430031,17430031
(주)금화피에스시,36190,Dec-19,23969775,23969775,17526996,17526996
(주)기가레인,49080,Dec-13,50711755,50711755,49153274,49153274
