회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별)
(주)그래디언트,35080,Dec-15,2106702049,2106702049,475792856,475792856
(주)그래디언트,35080,Dec-16,2073537018,2073537018,404583242,404583242
(주)그래디언트,35080,Dec-17,1804533355,1804533355,344022749,344022749
(주)그래디언트,35080,Dec-18,1809664488,1809664488,339457297,339457297
(주)그래디언트,35080,Dec-19,1780051911,1780051911,336145750,336145750
(주)그리티,204020,Dec-18,95755030,95755030,86557287,86557287
(주)그리티,204020,Dec-19,92151596,92151596,86803901,86803901
(주)그린플러스,186230,Dec-19,72321985,72321985,56587945,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,52575255,52575255,49714791,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,53824618,53824618,49050552,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,62626777,62626777,57053266,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,69972237,69972237,63317853,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,69691968,69691968,60770711,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,89405841,89405841,78440684,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,102400669,102400669,88966307,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,105027408,105027408,87524011,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,136751562,136751562,120984040,120984040
(주)금비,8870,Sep-11,215118770,215118770,134828296,134828296
(주)금비,8870,Sep-12,215481348,215481348,131454531,131454531
(주)금비,8870,Sep-13,209837389,209837389,131903805,131903805
(주)금비,8870,Sep-14,220865299,220865299,138058582,138058582
(주)금비,8870,Sep-15,231838031,231838031,142267212,142267212
(주)금비,8870,Sep-16,250604972,250604972,155344926,155344926
(주)금비,8870,Sep-17,247008401,247008401,148196313,148196313
(주)금비,8870,Sep-18,252892158,252892158,149863024,149863024
(주)금비,8870,Sep-19,260180107,260180107,151412728,151412728
(주)금양,1570,Dec-11,130817841,130817841,124086392,124086392
(주)금양,1570,Dec-12,127557393,127557393,127197484,127197484
(주)금양,1570,Dec-13,147115126,147115126,142485295,142485295
(주)금양,1570,Dec-14,160244911,160244911,145135554,145135554
(주)금양,1570,Dec-15,165405931,165405931,157467543,157467543
(주)금양,1570,Dec-16,178901902,178901902,174953809,174953809
(주)금양,1570,Dec-17,196084032,196084032,167120998,167120998
(주)금양,1570,Dec-18,204777156,204777156,155507052,155507052
(주)금양,1570,Dec-19,224222540,224222540,171931897,171931897
(주)금호에이치티,214330,Dec-15,123875646,123875646,109367040,109367040
(주)금호에이치티,214330,Dec-16,156606980,156606980,151786975,151786975
(주)금호에이치티,214330,Dec-17,150164495,150164495,146407321,146407321
(주)금호에이치티,214330,Dec-18,238380056,238380056,230268876,230268876
(주)금호에이치티,214330,Dec-19,322078193,322078193,314666069,314666069
(주)금화피에스시,36190,Dec-11,,,94174014,94174014
(주)금화피에스시,36190,Dec-12,,105483370,105483370,102986357
(주)금화피에스시,36190,Dec-13,142932108,142932108,135180701,135180701
(주)금화피에스시,36190,Dec-14,158057524,158057524,146360964,146360964
(주)금화피에스시,36190,Dec-15,189001800,189001800,175086217,175086217
(주)금화피에스시,36190,Dec-16,215036137,215036137,197557790,197557790
(주)금화피에스시,36190,Dec-17,231639148,230420605,216252318,215183898
(주)금화피에스시,36190,Dec-18,262516457,262516457,242310750,242310750
(주)금화피에스시,36190,Dec-19,281692946,281692946,255149491,255149491
(주)기가레인,49080,Dec-13,122523850,122523850,122926340,122926340
(주)기가레인,49080,Dec-14,131923500,131923500,133237615,133237615
(주)기가레인,49080,Dec-15,151757532,151757532,148551434,148551434
(주)기가레인,49080,Dec-16,155732003,155732003,152639799,152639799
(주)기가레인,49080,Dec-17,181628353,181628353,179756049,179756049
(주)기가레인,49080,Dec-18,179113947,179113947,176296022,176296022
(주)기가레인,49080,Dec-19,117798198,117225844,115539385,114967031
(주)기산텔레콤,35460,Dec-11,86259438,86259438,59416681,59416681
(주)기산텔레콤,35460,Dec-12,73234520,73234520,46588431,46588431
(주)기산텔레콤,35460,Dec-13,78811114,78684690,57254925,57254925
(주)기산텔레콤,35460,Dec-14,78052777,78052777,54284156,54284156
(주)기산텔레콤,35460,Dec-15,76012528,76012528,53901387,53901387
(주)기산텔레콤,35460,Dec-16,74209973,74209973,47117435,47117435
(주)기산텔레콤,35460,Dec-17,70137339,70137339,44554117,44554117
(주)기산텔레콤,35460,Dec-18,56180491,56180491,34219394,34219394
