회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)글로벌스탠다드테크놀로지,83450,Dec-12,25842.97,16755.69,21570.05,14541.19
(주)글로벌스탠다드테크놀로지,83450,Dec-13,25846.64,18146.16,21824.97,15605.43
(주)글로벌스탠다드테크놀로지,83450,Dec-14,29112.38,19896.3,24242.9,17354.68
(주)글로벌스탠다드테크놀로지,83450,Dec-15,32655.3,25147.38,27127.4,21922.39
(주)글로벌스탠다드테크놀로지,83450,Dec-16,34929.88,28117.14,28512.23,23531.73
(주)글로벌스탠다드테크놀로지,83450,Dec-17,55747.58,35513.69,48792.88,31875.87
(주)글로벌스탠다드테크놀로지,83450,Dec-18,53316.81,39514.98,41400.9,31641.46
(주)글로벌스탠다드테크놀로지,83450,Dec-19,71457.79,45087.09,57332.3,32934.01
(주)금양,1570,Dec-11,12521.92,5073.04,10017.49,3951.55
(주)금양,1570,Dec-12,16267.46,6154.98,12136.86,4463.21
(주)금양,1570,Dec-13,14775.26,6446.94,9944.21,4755.16
(주)금양,1570,Dec-14,15008.53,7413.25,11458.88,4997.8
(주)금양,1570,Dec-15,34946.42,8033.86,12003.03,6297.84
(주)금양,1570,Dec-16,-10089.35,9226.53,-20026.97,6786.43
(주)금양,1570,Dec-17,51739.78,11776.49,14797.19,8025.56
(주)금양,1570,Dec-18,45103.46,10726.94,33681.93,8420.25
(주)금양,1570,Dec-19,5126.82,12619.04,-3626.49,8187.99
(주)금호에이치티,214330,Dec-15,52220.95,26405.66,49719.42,23340.64
(주)금호에이치티,214330,Dec-16,49989.96,28513.07,49039.75,24808.65
(주)금호에이치티,214330,Dec-17,40550.16,25672.52,36109.34,22432.92
(주)금호에이치티,214330,Dec-18,46654.92,28458.48,40132.59,24629.51
(주)금호에이치티,214330,Dec-19,52694.04,33101.25,46919.36,28557.04
(주)금화피에스시,36190,Dec-11,,,56699.04,35562.23
(주)금화피에스시,36190,Dec-12,,,71820.4,45161.35
(주)금화피에스시,36190,Dec-13,109187.93,73647.96,103050.93,70371.32
(주)금화피에스시,36190,Dec-14,129346.5,91534.51,118494.36,83969.61
(주)금화피에스시,36190,Dec-15,153610.82,112930.66,139901.15,102501.9
