회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)국동,5320,Dec-13,147860227,19948179,22892835,95716049,12277024,10064438
(주)국동,5320,Dec-14,186086561,23636997,22684183,117861978,19254302,8296174
(주)국동,5320,Dec-15,170296068,20542541,27935227,102431161,18793712,13730846
(주)국동,5320,Dec-16,197368723,30965793,31975546,127275873,22531961,15648099
(주)국동,5320,Dec-17,191602989,29330583,31470800,130016453,24289513,13096071
(주)국동,5320,Dec-18,219550054,42026511,32699651,136811631,29136159,11916220
(주)국동,5320,Dec-19,223077183,29146951,32361904,116180044,22045059,11271338
(주)국보,1140,Dec-11,130636214,32013000,675022,118304924,30897739,675022
(주)국보,1140,Dec-12,122343037,29321045,743450,109183947,27743212,743450
(주)국보,1140,Dec-13,117073443,26687968,748235,108994114,26766809,748235
(주)국보,1140,Dec-14,97520169,21664174,665254,89859741,20655577,665254
(주)국보,1140,Dec-15,91618545,19300537,413181,85267457,18702252,413181
(주)국보,1140,Dec-16,87333326,18583374,376717,77773715,17533500,376717
(주)국보,1140,Dec-17,78255522,18211151,405427,74662255,17452320,405427
(주)국보,1140,Dec-18,71549828,15900282,354646,66929948,15982493,354646
(주)국보,1140,Dec-19,89087334,14106510,43435168,58296078,9583667,338808
(주)국보디자인,66620,Dec-11,130689686,5190250,0,123203000,5190250,0
(주)국보디자인,66620,Dec-12,119402993,4606730,0,118458574,4606730,0
(주)국보디자인,66620,Dec-13,163518536,10948837,0,153216189,10948837,0
(주)국보디자인,66620,Dec-14,176373907,4357661,0,158268803,4357661,0
(주)국보디자인,66620,Dec-15,192608497,2505760,0,157657615,2505760,0
(주)국보디자인,66620,Dec-16,201410031,1008344,0,191620729,1008344,0
(주)국보디자인,66620,Dec-17,270658405,336512,0,262522024,336512,0
(주)국보디자인,66620,Dec-18,254259835,1240757,0,231093439,1240757,0
(주)국보디자인,66620,Dec-19,269005976,3197728,0,237054909,3197728,0
(주)국순당,43650,Dec-11,127686247,11259940,16285781,124279594,10758156,15071855
(주)국순당,43650,Dec-12,118697826,12103876,16139074,115146725,11709351,14906288
(주)국순당,43650,Dec-13,99173525,10237392,16182543,96140591,9745976,13577007
(주)국순당,43650,Dec-14,91863604,12103487,15332903,89173752,11747154,11886783
(주)국순당,43650,Dec-15,77443124,12254148,14869710,74955341,11837690,11788376
(주)국순당,43650,Dec-16,69701266,9355940,14890028,68425801,8998950,10940127
(주)국순당,43650,Dec-17,62761236,9202188,14274110,60087461,8718979,10134104
(주)국순당,43650,Dec-18,61496072,7610480,14888891,52679104,7753428,10860632
(주)국순당,43650,Dec-19,102095769,13311068,16017909,48045002,8116959,10459069
(주)국영지앤엠,6050,Dec-11,,,,42569848,2199759,1498155
(주)국영지앤엠,6050,Dec-12,,,,43781593,1021751,1588558
(주)국영지앤엠,6050,Dec-13,,,,55789778,1677868,1582228
(주)국영지앤엠,6050,Dec-14,,,,51491847,1504995,1796351
(주)국영지앤엠,6050,Dec-15,,,,40107647,2910822,1330780
(주)국영지앤엠,6050,Dec-16,,,,51456556,2513999,4059203
(주)국영지앤엠,6050,Dec-17,,,,62861661,5466371,3195981
(주)국영지앤엠,6050,Dec-18,,,,56301480,2507793,2641685
(주)국영지앤엠,6050,Dec-19,,,,73013468,2689400,2586636
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
(주)그래디언트,35080,Dec-11,428571939,35816042,40547172,9501248,949789,0
(주)그래디언트,35080,Dec-12,454225001,42397042,34742521,11150621,750508,0
