회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)국보디자인,66620,Dec-11,59455203,0,31069394,57200948,0,29769233
(주)국보디자인,66620,Dec-12,74341481,0,34306810,72788158,0,33598419
(주)국보디자인,66620,Dec-13,102871707,0,59554141,95233392,0,54303853
(주)국보디자인,66620,Dec-14,106963249,0,54113739,99218627,0,51738972
(주)국보디자인,66620,Dec-15,107093318,0,54622328,96703601,0,50472332
(주)국보디자인,66620,Dec-16,128985094,0,66972237,118586463,0,66004387
(주)국보디자인,66620,Dec-17,135628503,0,61606792,127549210,0,60446916
(주)국보디자인,66620,Dec-18,142346121,0,62027834,127871195,0,53791955
(주)국보디자인,66620,Dec-19,194818591,0,94320054,169956490,0,80917421
(주)국순당,43650,Dec-11,82405755,16285781,16472336,77580053,15071855,15617190
(주)국순당,43650,Dec-12,87400525,16139074,13830374,81287902,14906288,12855993
(주)국순당,43650,Dec-13,100545624,16182543,13705357,84404848,13577007,11998667
(주)국순당,43650,Dec-14,99291581,15332903,14219171,86268346,11886783,13596481
(주)국순당,43650,Dec-15,97221146,14869710,10740663,82905503,11788376,11430600
(주)국순당,43650,Dec-16,85261001,14890028,10786059,71906088,10940127,9512046
(주)국순당,43650,Dec-17,86651908,14274110,12226432,75544356,10134104,10643502
(주)국순당,43650,Dec-18,72906719,14888891,11783237,62941465,10860632,10033456
(주)국순당,43650,Dec-19,78834555,16017909,33853250,60930981,10459069,6655759
(주)국영지앤엠,6050,Dec-11,,,,25252313,1498155,16858375
(주)국영지앤엠,6050,Dec-12,,,,21149484,1588558,6229917
(주)국영지앤엠,6050,Dec-13,,,,25059260,1582228,12262531
(주)국영지앤엠,6050,Dec-14,,,,22615829,1796351,7438655
(주)국영지앤엠,6050,Dec-15,,,,27918404,1330780,12570854
(주)국영지앤엠,6050,Dec-16,,,,29575531,4059203,11692874
(주)국영지앤엠,6050,Dec-17,,,,29995395,3195981,11239458
(주)국영지앤엠,6050,Dec-18,,,,25138635,2641685,8586831
(주)국영지앤엠,6050,Dec-19,,,,32068324,2586636,12276270
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
(주)그래디언트,35080,Dec-11,278334197,40547172,340898793,24034151,0,114323068
