회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)나노신소재,121600,12-Dec,-1.99,-2.32,,,,
(주)나노신소재,121600,13-Dec,4.21,4.32,,,,
(주)나노신소재,121600,14-Dec,24.39,24.79,,,,
(주)나노신소재,121600,15-Dec,87.38,86.73,,,,
(주)나노신소재,121600,16-Dec,122.68,122.39,,,,
(주)나노신소재,121600,17-Dec,114.29,114.62,,,,
(주)나노신소재,121600,18-Dec,126.66,127.97,,,,
(주)나노신소재,121600,19-Dec,43.65,42.91,,,,
(주)나노엔텍,39860,11-Dec,-8.71,-12.31,,,,
(주)나노엔텍,39860,12-Dec,-4.32,-5.04,,,,
(주)나노엔텍,39860,13-Dec,1.02,-0.44,,,,
(주)나노엔텍,39860,14-Dec,0.84,-8.4,,,,
(주)나노엔텍,39860,15-Dec,-32.34,-32.63,,,,
(주)나노엔텍,39860,16-Dec,-37.54,-42.07,,,,
(주)나노엔텍,39860,17-Dec,5.95,3.38,,,,
(주)나노엔텍,39860,18-Dec,20.62,18,,,,
(주)나노엔텍,39860,19-Dec,208.63,133.96,,,,
(주)나무가,190510,15-Dec,14.3,8.35,,,,
(주)나무가,190510,16-Dec,-3.08,-0.37,,,,
(주)나무가,190510,17-Dec,-114.1,-18.62,,,,
(주)나무가,190510,18-Dec,66.61,1.01,,,,
(주)나무가,190510,19-Dec,2.48,1.15,,,,
(주)나스미디어,89600,13-Dec,X,,,,,
(주)나스미디어,89600,14-Dec,X,,,,,
(주)나스미디어,89600,15-Dec,X,,,,,
(주)나스미디어,89600,16-Dec,X,171.59,,,,
(주)나스미디어,89600,17-Dec,X,147.4,,,,
(주)나스미디어,89600,18-Dec,X,326.73,,,,
(주)나스미디어,89600,19-Dec,85.52,35.89,,,,
(주)나이벡,138610,11-Dec,-3.91,,,,,
(주)나이벡,138610,12-Dec,-2.68,,,,,
(주)나이벡,138610,13-Dec,-5.06,,,,,
(주)나이벡,138610,14-Dec,-5.51,,,,,
(주)나이벡,138610,15-Dec,-3.41,,,,,
(주)나이벡,138610,16-Dec,-3.51,,,,,
