,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
270,(주)광주신세계,37710,Dec-14,42236355.0,448624926.0,620656716.0
271,(주)광주신세계,37710,Dec-15,45901413.0,491380796.0,26722489.0
272,(주)광주신세계,37710,Dec-16,45554028.0,534290186.0,27962532.0
273,(주)광주신세계,37710,Dec-17,47846191.0,579363832.0,29302171.0
274,(주)광주신세계,37710,Dec-18,45093180.0,620656716.0,30762180.0
275,(주)광주신세계,37710,Dec-19,47668959.0,661189861.0,42200180.0
276,(주)구영테크,53270,Dec-11,985788.0,27962532.0,
277,(주)구영테크,53270,Dec-12,1250176.0,29302171.0,46429602.0
278,(주)구영테크,53270,Dec-13,1137402.0,30762180.0,47102417.0
279,(주)구영테크,53270,Dec-14,1326679.0,42200180.0,57861349.0
280,(주)구영테크,53270,Dec-15,3196300.0,44066560.0,15946127.0
281,(주)구영테크,53270,Dec-16,3920237.0,46429602.0,2694312.0
282,(주)구영테크,53270,Dec-17,1239184.0,47102417.0,2775119.0
283,(주)구영테크,53270,Dec-18,3912117.0,57861349.0,5947778.0
284,(주)구영테크,53270,Dec-19,1558141.0,58668784.0,14336568.0
285,(주)국동,5320,Dec-11,-12930687.0,2694312.0,
286,(주)국동,5320,Dec-12,262553.0,2775119.0,40069999.0
287,(주)국동,5320,Dec-13,2373991.0,5947778.0,38638770.0
288,(주)국동,5320,Dec-14,4692501.0,14336568.0,41762492.0
289,(주)국동,5320,Dec-15,5321778.0,22395455.0,34416372.0
290,(주)국동,5320,Dec-16,4379974.0,40069999.0,33874415.0
291,(주)국동,5320,Dec-17,-6593433.0,38638770.0,31655538.0
292,(주)국동,5320,Dec-18,1351547.0,41762492.0,27678685.0
293,(주)국동,5320,Dec-19,-6989987.0,54349558.0,20984752.0
294,(주)국보,1140,Dec-11,-176708.0,33874415.0,
295,(주)국보,1140,Dec-12,-1916073.0,31655538.0,13200649.0
296,(주)국보,1140,Dec-13,-3766842.0,27678685.0,16039171.0
297,(주)국보,1140,Dec-14,-6633427.0,20984752.0,11578143.0
298,(주)국보,1140,Dec-15,-3679630.0,17113465.0,42593318.0
299,(주)국보,1140,Dec-16,-5034348.0,13200649.0,48472432.0
300,(주)국보,1140,Dec-17,-2761653.0,16039171.0,58283419.0
301,(주)국보,1140,Dec-18,-4038217.0,11578143.0,64945696.0
302,(주)국보,1140,Dec-19,-9851123.0,12278837.0,70452085.0
303,(주)국보디자인,66620,Dec-11,6607794.0,48472432.0,
304,(주)국보디자인,66620,Dec-12,8631842.0,58283419.0,80282408.0
305,(주)국보디자인,66620,Dec-13,9417821.0,64945696.0,94380512.0
306,(주)국보디자인,66620,Dec-14,7901285.0,70452085.0,103598968.0
307,(주)국보디자인,66620,Dec-15,6947669.0,75467148.0,172746140.0
308,(주)국보디자인,66620,Dec-16,11905078.0,80282408.0,174045265.0
309,(주)국보디자인,66620,Dec-17,14149734.0,94380512.0,186305726.0
310,(주)국보디자인,66620,Dec-18,14098992.0,103598968.0,185985822.0
311,(주)국보디자인,66620,Dec-19,9509021.0,112076012.0,186838479.0
312,(주)국순당,43650,Dec-11,5640710.0,174045265.0,
313,(주)국순당,43650,Dec-12,5122888.0,186305726.0,183188543.0
314,(주)국순당,43650,Dec-13,2346882.0,185985822.0,191745752.0
315,(주)국순당,43650,Dec-14,1997559.0,186838479.0,203499644.0
316,(주)국순당,43650,Dec-15,-4854598.0,186118215.0,34971030.0
317,(주)국순당,43650,Dec-16,-2212642.0,183188543.0,32733005.0
318,(주)국순당,43650,Dec-17,9847390.0,191745752.0,45960267.0
319,(주)국순당,43650,Dec-18,15171022.0,203499644.0,46345349.0
320,(주)국순당,43650,Dec-19,571892.0,196923842.0,47240880.0
321,(주)국영지앤엠,6050,Dec-11,-1752706.0,32733005.0,
322,(주)국영지앤엠,6050,Dec-12,4832440.0,45960267.0,50558041.0
323,(주)국영지앤엠,6050,Dec-13,953338.0,46345349.0,52611544.0
324,(주)국영지앤엠,6050,Dec-14,395531.0,47240880.0,51748308.0
325,(주)국영지앤엠,6050,Dec-15,-533927.0,48972537.0,
326,(주)국영지앤엠,6050,Dec-16,385503.0,50558041.0,364537559.0
327,(주)국영지앤엠,6050,Dec-17,1431624.0,52611544.0,334573662.0
328,(주)국영지앤엠,6050,Dec-18,-354808.0,51748308.0,411656935.0
329,(주)국영지앤엠,6050,Dec-19,1089819.0,52826451.0,402332194.0
330,(주)국전약품,307750,Dec-18,,,
331,(주)국전약품,307750,Dec-19,,,431479123.0
332,(주)그래디언트,35080,Dec-11,-4906079.0,334573662.0,
333,(주)그래디언트,35080,Dec-12,15794035.0,411656935.0,328719925.0
334,(주)그래디언트,35080,Dec-13,-9664900.0,402332194.0,325218418.0
335,(주)그래디언트,35080,Dec-14,625806.0,420045194.0,74051025.0
336,(주)그래디언트,35080,Dec-15,13112622.0,431479123.0,23746450.0
337,(주)그래디언트,35080,Dec-16,-40598919.0,389295611.0,26355250.0
338,(주)그래디언트,35080,Dec-17,-54754214.0,328719925.0,33379017.0
339,(주)그래디언트,35080,Dec-18,4404863.0,325218418.0,39169886.0
340,(주)그래디언트,35080,Dec-19,4125060.0,320088192.0,45624394.0
341,(주)그리티,204020,Dec-18,6019400.0,74051025.0,
342,(주)그리티,204020,Dec-19,2627015.0,74833748.0,53103831.0
343,(주)그린플러스,186230,Dec-19,2435883.0,36772875.0,
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,2301945.0,26355250.0,
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,5403733.0,33379017.0,78566232.0
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,5075966.0,39169886.0,76631712.0
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,6151625.0,45624394.0,76286738.0
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,3910170.0,49667680.0,75961191.0
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,3758214.0,53103831.0,73951486.0
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,13135277.0,67278478.0,75497346.0
351,(주)글로벌스탠다드테크놀로지,83450,Dec-18,7747618.0,72640818.0,80284267.0
352,(주)글로벌스탠다드테크놀로지,83450,Dec-19,17027156.0,90403163.0,80937315.0
353,(주)금비,8870,Sep-11,828877.0,76631712.0,
354,(주)금비,8870,Sep-12,134171.0,76286738.0,42072333.0
355,(주)금비,8870,Sep-13,302774.0,75961191.0,43024251.0
356,(주)금비,8870,Sep-14,-1062704.0,73951486.0,45261596.0
